Date,Mid-Price,Total_volume
2025-01-02,286.41184744599497,5424861
2025-01-03,306.54235620915034,5067907
2025-01-06,317.7883851885744,5310600
2025-01-07,359.01497826726364,5677630
2025-01-08,339.6917764705882,5399132
2025-01-09,332.7423053794366,5702837
2025-01-10,316.599972875817,5478232
2025-01-13,324.12743634996895,4956151
2025-01-14,339.12638942449104,5561477
2025-01-15,332.300658496732,5408115
2025-01-16,302.2437409719272,5209283
2025-01-17,301.0930898454097,5141600
2025-01-20,346.5570772599516,5293081
2025-01-21,366.0451611111111,5390961
2025-01-22,315.9028326306501,5346073
2025-01-23,294.8465491208576,5223879
2025-01-24,312.3947689542484,5036983
2025-01-27,326.53430210137583,5375060
2025-01-28,356.19446975391355,5795433
2025-01-29,335.543841226264,5443383
2025-01-30,316.2728355721149,5289349
2025-01-31,315.2895042321644,5230352
2025-02-03,346.5885640053597,5096771
2025-02-04,351.72350991862476,5537019
2025-02-05,312.1601349717311,5156805
2025-02-06,310.4372016339869,5038135
2025-02-07,322.34646589757835,5374188
2025-02-10,328.63518007712923,5089706
2025-02-11,335.28970325827646,5129213
2025-02-12,314.8596173077552,5385367
2025-02-13,296.5930358193346,5262853
2025-02-14,296.3020869963071,5058288
2025-02-17,320.51613660130715,5219865
2025-02-18,328.39349031014086,5230095
2025-02-19,302.15706441808015,5180191
2025-02-20,277.3263225152793,4920771
2025-02-21,272.71827058823527,4995258
2025-02-24,297.39291307189546,4835897
2025-02-25,320.11954967320264,5051774
2025-02-26,305.1711846405229,5019191
2025-02-27,269.89837641752996,4960395
2025-02-28,267.76968660130717,4840232
2025-03-03,285.86518792077914,5106305
2025-03-04,279.7132928064843,4984597
2025-03-05,252.24358986928104,5044567
2025-03-06,232.23828877704426,4819363
2025-03-07,232.25132581699347,4916263
2025-03-10,237.17138337854178,4922274
2025-03-11,243.48732385620917,4929545
2025-03-12,236.0341062849299,5016813
2025-03-13,217.23314379084968,4955772
2025-03-14,218.41554705882353,4885331
2025-03-17,220.3344936109023,4924680
2025-03-18,234.55975031863787,4738067
2025-03-19,211.94776339869279,4924888
2025-03-20,198.39609562404,4932207
2025-03-21,191.7572702614379,5037755
2025-03-24,182.50390437596,4959286
2025-03-25,171.26431092519366,4957791
2025-03-26,173.9618311055917,5080632
2025-03-27,175.53531241830063,4788824
2025-03-28,179.61592045491682,4955800
2025-03-31,174.77245530899702,5094964
2025-04-01,171.27476928104576,4788282
2025-04-02,175.77480065359478,5165166
2025-04-03,183.72312591914766,5149121
2025-04-04,186.2302657210093,4853125
2025-04-07,185.37575672407596,5235465
2025-04-08,189.17618778391451,4837519
2025-04-09,179.09980128770795,4929630
2025-04-10,168.5607020066671,5315114
2025-04-11,175.94736830065358,4795904
2025-04-14,172.45254975652801,4847167
2025-04-15,172.99114738562093,5051353
2025-04-16,177.11202647058823,4949618
2025-04-17,184.64044022485132,4822630
2025-04-22,205.69557113442494,4870509
2025-04-23,202.30388182620348,4761650
2025-04-24,193.8250374195235,5259213
2025-04-25,188.02704042615773,5108177
2025-04-28,193.57376515572403,5087602
2025-04-29,208.31522141246447,4702386
2025-04-30,214.02148039215686,5011873
2025-05-01,212.09925585803458,4761212
2025-05-02,208.72502941176472,5015809
2025-05-06,229.1767311588993,4896940
2025-05-07,214.61027385620915,5031904
2025-05-08,201.6137255286466,5105909
2025-05-09,196.99037420746453,4863146
2025-05-12,198.7389865681885,5188002
2025-05-13,192.80187843137256,5014445
2025-05-14,177.70835250669978,4731817
2025-05-15,171.64850196078433,5221646
2025-05-16,165.57433314814207,5028759
2025-05-19,165.25562408079224,5279553
2025-05-20,169.78155211295226,4971757
2025-05-21,168.00870849673203,4915695
2025-05-22,161.0557522875817,5056736
2025-05-23,157.58096744672508,4960918
2025-05-27,159.08325958364654,4887301
2025-05-28,154.8686339869281,5049099
2025-05-29,150.7375567030525,5001801
2025-05-30,146.12721078431375,5077811
